TimestampUtc,DbPool,ApiPool
"2026-09-09T12:43:30.4453772Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.time_in_queue[server.address=localhost;]=0.32"
"2026-09-09T12:43:45.4645353Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.07 | db.client.operation.npgsql.bytes_read=288401 | db.client.operation.npgsql.bytes_written=600 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:44:00.4704252Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.07 | db.client.operation.npgsql.bytes_read=288401 | db.client.operation.npgsql.bytes_written=600 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:44:15.4734983Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.02 | db.client.operation.npgsql.bytes_read=1237 | db.client.operation.npgsql.bytes_written=235 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:44:30.4777254Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.02 | db.client.operation.npgsql.bytes_read=1237 | db.client.operation.npgsql.bytes_written=235 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:44:45.4823923Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.02 | db.client.operation.npgsql.bytes_read=1237 | db.client.operation.npgsql.bytes_written=235 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.7 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:00.4852776Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.02 | db.client.operation.npgsql.bytes_read=1237 | db.client.operation.npgsql.bytes_written=235 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.7 | http.client.connection.duration[server.address=login.microsoftonline.com;]=74.98 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:15.4891593Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.02 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=22 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.7 | http.client.connection.duration[server.address=login.microsoftonline.com;]=74.98 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:30.4948286Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.02 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=22 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.7 | http.client.connection.duration[server.address=login.microsoftonline.com;]=74.98 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:45.5161698Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.39 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.02 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=22 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.7 | http.client.connection.duration[server.address=login.microsoftonline.com;]=74.98 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.35 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.06 | http.client.request.time_in_queue[server.address=localhost;]=0.32 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
