StartTimeUtc,EndTimeUtc,DurationMs,Api,Method,StatusCode,Outcome,Url,CorrelationId
"2026-09-09T12:43:30.5121593Z","2026-09-09T12:43:36.0032592Z","5491","localhost","GET","200","OK","https://localhost:7185/api/yearmaster","41f24c49-42bf-4308-be25-8d1c299fb7ca"
"2026-09-09T12:43:39.8252001Z","2026-09-09T12:43:40.3533779Z","528","localhost","GET","200","OK","https://localhost:7185/api/v1/employee/paginated?filterOption=1&Descending=False&Page=1&PageSize=10&Filter={}","9a5f93dd-f3f5-44fd-b4ce-e4c9c8afa5c0"
"2026-09-09T12:43:42.3423029Z","2026-09-09T12:43:42.5414819Z","199","localhost","GET","200","OK","https://localhost:7185/api/v1/division/paged?Descending=False&Page=1&PageSize=10&Filter={}","af0d806a-d208-4cc6-b0c0-786afcad045b"
"2026-09-09T12:43:43.9446454Z","2026-09-09T12:43:44.0968681Z","152","localhost","GET","200","OK","https://localhost:7185/api/v1/profitcentres/paged?Descending=False&Page=1&PageSize=10&Filter={}","96d31ae3-93b1-4621-8db6-706c858e999b"
"2026-09-09T12:43:45.5462072Z","2026-09-09T12:43:50.7374189Z","5191","localhost","GET","200","OK","https://localhost:7186/api/v1/workgroup/paged?Descending=False&Page=1&PageSize=10&Filter={}","ea7af371-6253-4951-b355-529ac602cd03"
"2026-09-09T12:44:09.2122643Z","2026-09-09T12:44:09.3444552Z","132","localhost","GET","200","OK","https://localhost:7185/api/v1/Grade/paged?Descending=False&Page=1&PageSize=10&Filter={}","8bf0e42c-d9b0-4599-9b36-763ec0379532"
"2026-09-10T04:27:35.7268581Z","2026-09-10T04:27:39.6694373Z","3942","localhost","GET","200","OK","https://localhost:7185/api/yearmaster","221685aa-1124-4249-bf01-e7299fe20885"
"2026-09-10T04:27:44.5408045Z","2026-09-10T04:27:45.0606503Z","519","localhost","GET","200","OK","https://localhost:7185/api/v1/employee/paginated?filterOption=1&Descending=False&Page=1&PageSize=10&Filter={}","494083d3-beaf-4527-a3c5-412489c0b451"
"2026-09-10T04:27:47.2785835Z","2026-09-10T04:27:47.4858822Z","207","localhost","GET","200","OK","https://localhost:7185/api/v1/division/paged?Descending=False&Page=1&PageSize=10&Filter={}","1c493230-31a1-4761-949d-b279accce14e"
"2026-09-10T04:27:48.9459915Z","2026-09-10T04:27:49.0832485Z","137","localhost","GET","200","OK","https://localhost:7185/api/v1/profitcentres/paged?Descending=False&Page=1&PageSize=10&Filter={}","8bb20c1f-276a-43f4-b47b-c6d0839ce126"
