TimestampUtc,DbPool,ApiPool
"2026-09-09T12:43:29.5762449Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.36 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:43:44.5780309Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.15 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.12 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:43:59.5816767Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=5.19 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:44:14.5854625Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.13 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:44:29.5892888Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=0.13 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:44:44.5947748Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=login.microsoftonline.com;]=74.97 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.13 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:44:59.5968448Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.13 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:45:14.6019268Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=75 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.13 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:45:29.6037359Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=119.64 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0.13 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0.01 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
"2026-09-09T12:45:44.6076173Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=119.64 | http.client.connection.duration[server.address=login.microsoftonline.com;]=89.95 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=0 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.17 | http.client.request.time_in_queue[server.address=localhost;]=0 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.05"
