TimestampUtc,DbPool,ApiPool
"2026-09-09T12:43:30.6855920Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.time_in_queue[server.address=localhost;]=0.05"
"2026-09-09T12:43:45.6961344Z","","http.client.active_requests[server.address=localhost;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.time_in_queue[server.address=localhost;]=0.05"
"2026-09-09T12:44:00.7104017Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=1609 | db.client.operation.npgsql.bytes_written=350 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:44:15.7178592Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=1609 | db.client.operation.npgsql.bytes_written=350 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:44:30.7233489Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=1609 | db.client.operation.npgsql.bytes_written=350 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:44:45.7264456Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=1609 | db.client.operation.npgsql.bytes_written=350 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:00.7292522Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=22 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:15.7550001Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=22 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:30.7633169Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=22 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:45:45.7658153Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=22 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:46:00.7693736Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=5 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:46:15.7740826Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=5 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:46:30.7813894Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=5 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:46:45.7863455Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=5 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
"2026-09-09T12:47:00.7897269Z","db.client.connection.count=0 | db.client.connection.max=25 | db.client.connection.npgsql.create_time=0.26 | db.client.operation.duration[server.address=fps-development.c7kkusgy4aqn.eu-west-2.rds.amazonaws.com;]=0.03 | db.client.operation.npgsql.bytes_read=6 | db.client.operation.npgsql.bytes_written=5 | db.client.operation.npgsql.executing=-1 | db.client.operation.npgsql.prepared_ratio=0","http.client.active_requests[server.address=localhost;]=-1 | http.client.active_requests[server.address=login.microsoftonline.com;]=-1 | http.client.connection.duration[server.address=localhost;]=74.97 | http.client.connection.duration[server.address=login.microsoftonline.com;]=75 | http.client.open_connections[server.address=localhost;http.connection.state=active;]=-1 | http.client.open_connections[server.address=localhost;http.connection.state=idle;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=active;]=-1 | http.client.open_connections[server.address=login.microsoftonline.com;http.connection.state=idle;]=-1 | http.client.request.duration[server.address=localhost;]=2.21 | http.client.request.duration[server.address=login.microsoftonline.com;]=0.04 | http.client.request.time_in_queue[server.address=localhost;]=0.05 | http.client.request.time_in_queue[server.address=login.microsoftonline.com;]=0.04"
